audit_elapsed_seconds,broad_phase_solid_candidates,classification,exact_common_volume_mm3,name_a,name_b,occurrence_a,occurrence_b,state,status
0.005916,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_2,COVER_SEQUENCED_ARM_STOW_LATCH_SET,WP02-002,WP02-034,STOWED,PASS
0.009056,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_2,COMMON_CROSSHEAD,WP02-005,WP02-007,STOWED,PASS
0.001940,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_2,PIVOT_BUSHING_SET,WP02-005,WP02-008,STOWED,PASS
0.001964,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_2,ARM_PIVOT_PIN_SET,WP02-005,WP02-009,STOWED,PASS
0.003393,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_2,ARM_LINK_PIN_SET,WP02-005,WP02-010,STOWED,PASS
0.002903,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_2,CROSSHEAD_LINK_PIN_SET,WP02-005,WP02-011,STOWED,PASS
0.001515,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_2,VSM6_RETENTION_RING_SET,WP02-005,WP02-012,STOWED,PASS
0.001991,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_2,DEPLOYED_STOP_PAD_SET,WP02-005,WP02-029,STOWED,PASS
0.004151,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_2,POSITIVE_LOCK_HOUSING_SET,WP02-005,WP02-030,STOWED,PASS
0.010235,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,LINK_3,WP02-003,WP02-006,STOWED,PASS
0.012350,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,PIVOT_BUSHING_SET,WP02-003,WP02-008,STOWED,PASS
0.007725,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,ARM_PIVOT_PIN_SET,WP02-003,WP02-009,STOWED,PASS
0.009004,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,ARM_LINK_PIN_SET,WP02-003,WP02-010,STOWED,PASS
0.012209,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,VSM6_RETENTION_RING_SET,WP02-003,WP02-012,STOWED,PASS
0.007740,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,POWERTRAIN_CARTRIDGE_SPINE,WP02-003,WP02-013,STOWED,PASS
0.012743,3,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,POSITIVE_LOCK_HOUSING_SET,WP02-003,WP02-030,STOWED,PASS
0.003752,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET,WP02-003,WP02-031,STOWED,PASS
0.006367,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_3,COVER_SEQUENCED_ARM_STOW_LATCH_SET,WP02-003,WP02-034,STOWED,PASS
0.010543,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,COMMON_CROSSHEAD,WP02-006,WP02-007,STOWED,PASS
0.002478,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,PIVOT_BUSHING_SET,WP02-006,WP02-008,STOWED,PASS
0.002893,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,ARM_PIVOT_PIN_SET,WP02-006,WP02-009,STOWED,PASS
0.002864,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,ARM_LINK_PIN_SET,WP02-006,WP02-010,STOWED,PASS
0.002936,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,CROSSHEAD_LINK_PIN_SET,WP02-006,WP02-011,STOWED,PASS
0.003855,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,VSM6_RETENTION_RING_SET,WP02-006,WP02-012,STOWED,PASS
0.002408,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,DEPLOYED_STOP_PAD_SET,WP02-006,WP02-029,STOWED,PASS
0.003047,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,POSITIVE_LOCK_HOUSING_SET,WP02-006,WP02-030,STOWED,PASS
0.001467,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,LINK_3,POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET,WP02-006,WP02-031,STOWED,PASS
0.024858,6,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,CROSSHEAD_LINK_PIN_SET,WP02-007,WP02-011,STOWED,PASS
0.009061,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,VSM6_RETENTION_RING_SET,WP02-007,WP02-012,STOWED,PASS
0.030079,3,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,POWERTRAIN_CARTRIDGE_SPINE,WP02-007,WP02-013,STOWED,PASS
0.043924,4,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,CROSSHEAD_GUIDE_ROD_SET,WP02-007,WP02-014,STOWED,PASS
0.030958,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,GS19_MOVING_ADAPTER,WP02-007,WP02-018,STOWED,PASS
0.004050,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,HBD15_ROD_DRAWING_DERIVED,WP02-007,WP02-020,STOWED,PASS
0.034508,11,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,HBD_MOVING_LOST_MOTION_COUPLER,WP02-007,WP02-021,STOWED,PASS
0.001709,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,BACKUP_SPRING_GUIDE_PUSHROD,WP02-007,WP02-028,STOWED,PASS
0.004568,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,CROSSHEAD_SEAR,WP02-007,WP02-032,STOWED,PASS
0.148120,7,NO_POSITIVE_COMMON_VOLUME,0.000000000,COMMON_CROSSHEAD,CROSSHEAD_SEAR_HOUSING,WP02-007,WP02-033,STOWED,PASS
0.013729,6,NO_POSITIVE_COMMON_VOLUME,0.000000000,PIVOT_BUSHING_SET,ARM_PIVOT_PIN_SET,WP02-008,WP02-009,STOWED,PASS
0.004371,2,NO_POSITIVE_COMMON_VOLUME,0.000000000,PIVOT_BUSHING_SET,VSM6_RETENTION_RING_SET,WP02-008,WP02-012,STOWED,PASS
0.002799,4,NO_POSITIVE_COMMON_VOLUME,0.000000000,PIVOT_BUSHING_SET,POSITIVE_LOCK_HOUSING_SET,WP02-008,WP02-030,STOWED,PASS
0.000568,1,NO_POSITIVE_COMMON_VOLUME,0.000000000,PIVOT_BUSHING_SET,POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET,WP02-008,WP02-031,STOWED,PASS
0.009346,3,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_PIVOT_PIN_SET,VSM6_RETENTION_RING_SET,WP02-009,WP02-012,STOWED,PASS
0.006021,6,NO_POSITIVE_COMMON_VOLUME,0.000000000,ARM_PIVOT_PIN_SET,POSITIVE_LOCK_HOUSING_SET,WP02-009,WP02-030,STOWED,PASS
