LINK-PIN-2-BELL	MOVING	ARM-2=0.0;PIVOT-CARRIER-2=0.0;LINK-CLIP-2-BELL=0.02999999999989315;LINK-2-2=0.1199999999998919;LINK-2-1=0.11999999999994065;FIXED-SECTOR-1=1.6654795606650712
LINK-PIN-2-CROSSHEAD	MOVING	LINK-CLIP-2-CROSSHEAD=0.02999999999990868;LINK-2-2=0.11999999999992514;LINK-2-1=0.11999999999995531;CROSSHEAD-001=0.1799999999999378;FIXED-SECTOR-1=2.2002801459073873;ARM-2=2.601122222456852
LINK-PIN-3-BELL	MOVING	ARM-3=0.0;PIVOT-CARRIER-3=0.0;LINK-CLIP-3-BELL=0.02999999999989527;LINK-3-2=0.11999999999991978;LINK-3-1=0.11999999999993664;FIXED-SECTOR-2=1.6654795606650683
LINK-PIN-3-CROSSHEAD	MOVING	LINK-CLIP-3-CROSSHEAD=0.029999999999932605;LINK-3-2=0.1199999999999201;LINK-3-1=0.11999999999992769;CROSSHEAD-001=0.1799999999998984;FIXED-SECTOR-2=2.2002801459073873;ARM-3=2.6011222224568544
NOSE-001	FIXED	BALLAST-001=0.0;FWD-RING-01=166.0;FWD-LONGERON-1=174.0;FWD-LONGERON-2=174.0;FWD-LONGERON-3=174.0;FWD-SHELL-001=174.0
PIVOT-BUSH-1-1	FIXED	PIVOT-PIN-1=0.01999999999993021;ARM-1=0.029999969544565665;PIVOT-WASHER-1-1=0.0600000000000005;PIVOT-CARRIER-1=1.25;ARM-STOP-PAD-1=2.6183085036071128;FIXED-SECTOR-3=3.3279516110486917
PIVOT-BUSH-1-2	FIXED	PIVOT-PIN-1=0.019999999999913635;ARM-1=0.029999968486668457;PIVOT-WASHER-1-2=0.0600000000000005;PIVOT-CARRIER-1=1.25;ARM-STOP-PAD-1=2.6183085036071128;FIXED-SECTOR-1=3.3279516110486864
PIVOT-BUSH-2-1	FIXED	PIVOT-PIN-2=0.01999999999992063;ARM-2=0.029999969544523466;PIVOT-WASHER-2-1=0.059999999999998624;PIVOT-CARRIER-2=1.2499999999999984;ARM-STOP-PAD-2=2.6183085036071123;FIXED-SECTOR-1=3.3279516110486917
PIVOT-BUSH-2-2	FIXED	PIVOT-PIN-2=0.019999999999906936;ARM-2=0.029999968486680656;PIVOT-WASHER-2-2=0.060000000000000664;PIVOT-CARRIER-2=1.2499999999999996;PIVOT-CLIP-2=3.4249999999999976;LINK-2-2=3.6851307645777833
PIVOT-BUSH-3-1	FIXED	PIVOT-PIN-3=0.019999999999905677;ARM-3=0.029999969544459177;PIVOT-WASHER-3-1=0.060000000000000664;PIVOT-CARRIER-3=1.2499999999999996;LINK-3-1=3.6851307645777855;LINK-PIN-3-BELL=3.7238219993165957
